onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	rewardFraction	guess	outcome	correct	word	when	answer	runNr	scanNr	subjectNr	target	reactionTime	outcomeEyeClosed	outcomePupilArea	outcomeDilation	guessEyeClosed	guessPupilArea	guessDilation	nrBlinks	trialInBlock	isReward	isPanas	isPunish	beforePanasReward	beforePanasVLPFC
20.5263644877747	2.54843938650191	punish_rtpj	23.0748038742766	1	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	3	-1	n/a	n/a	n/a	1	4	231	RTPJ	1454.26201437786	0	1111.3595505618	0.02125	0.132205995388163	1127.91939769708	0.0302491103202847	1	1	0	0	1	0	0
24.0864494121186	2.52441028288379	punish_rtpj	26.6108596950024	2	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	1	1	n/a	n/a	n/a	1	4	231	RTPJ	730.046446748078	0	1047.92134831461	-0.37875	0	1015.06917755573	0.348461538461538	0	2	0	0	1	0	0
27.5948878959194	2.51875959119201	punish_rtpj	30.1136474871114	3	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	2	-1	n/a	n/a	n/a	1	4	231	RTPJ	857.352916285396	0.579275905118602	1426.6409495549	-0.351190476190476	0	1159.40430438125	0.342307692307692	1	3	0	0	1	0	0
31.1143618896902	2.51873067657277	punish_rtpj	33.6330925662629	4	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	1	-1	n/a	n/a	n/a	1	4	231	RTPJ	710.299879830331	0.749063670411985	1447.7960199005	-0.338383838383838	0	1310.92697924673	0.246153846153846	1	4	0	0	1	0	0
34.6178048446812	2.51817742007971	punish_rtpj	37.1359822647609	5	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	10	-1	n/a	n/a	n/a	1	4	231	RTPJ	490.60874434188	0.84394506866417	1500.024	-0.0161290322580645	0	1313.76940814758	0.337692307692308	1	5	0	0	1	0	0
38.1367996315882	2.51871339832619	punish_rtpj	40.6555130299144	6	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	1	-1	n/a	n/a	n/a	1	4	231	RTPJ	408.059984426945	0.747815230961298	1397.5	0.73	0	1264.74788624135	0.258461538461538	1	6	0	0	1	0	0
41.6562556418776	2.51869329914451	punish_rtpj	44.1749489410222	7	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	9	-1	n/a	n/a	n/a	1	4	231	RTPJ	1041.54289800301	0.802746566791511	1453.19620253165	-0.10828025477707	0.230591852421214	1393.33366633367	0.137137137137137	3	7	0	0	1	0	0
45.1757698340155	2.51884809812531	punish_rtpj	47.6946179321408	8	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	10	1	n/a	n/a	n/a	1	4	231	RTPJ	1040.45859991387	0	1317.13857677903	-0.64625	0.235972328977709	1471.80181086519	0.22883064516129	2	8	0	0	1	0	0
48.7075343026109	6.00943392234296	panas_none	54.7169682249539	9	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	determined	At this moment	3	1	4	231	NONE	n/a	0	711.162297128589	0.10125	0	897.519600307456	-0.262307692307692	1	1	0	1	0	0	0
55.7010052413046	6.02164470566064	panas_none	61.7226499469653	10	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	proud	At this moment	3	1	4	231	NONE	n/a	0	1070.2709113608	0.135	0.230591852421214	984.595404595405	0.0560560560560561	2	2	0	1	0	0	0
62.7235039859861	6.02163906378672	panas_none	68.7451430497728	11	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	jittery	At this moment	1	1	4	231	NONE	n/a	0.441947565543071	1054.48098434004	0.0315315315315315	0	891.963873943121	-0.00384615384615385	2	3	0	1	0	0	0
69.7458592154421	7.90645487063378	panas_none	77.6523140860759	12	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	4	231	NONE	n/a	0.647940074906367	1289.12411347518	0.387900355871886	0.279016141429669	1126.67484008529	0.12059765208111	4	4	0	1	0	0	0
78.653067276556	2.51871234047412	punish_vlpfc	81.1717796170302	13	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	-1	10	-1	n/a	n/a	n/a	1	4	231	VLPFC	773.878536045551	0	1325.16104868914	-0.32	0	1151.94926979247	0.366153846153846	0	1	0	0	1	0	0
82.17262096183	2.51876734876633	punish_vlpfc	84.6913883105964	14	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	-1	6	-1	n/a	n/a	n/a	1	4	231	VLPFC	323.459697254002	0.134831460674157	1296.10245310245	-0.277456647398844	0.230591852421214	1242.58041958042	0.291291291291291	2	2	0	0	1	0	0
85.675543101117	2.51865839003027	punish_vlpfc	88.1942014911473	15	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	1	3	-1	n/a	n/a	n/a	1	4	231	VLPFC	323.747432943434	0.697877652933833	1467.70661157025	-0.0954356846473029	0	1311.75172943889	0.227692307692308	1	3	0	0	1	0	0
89.1950823290795	2.51883575652167	punish_vlpfc	91.7139180856012	16	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	1	6	1	n/a	n/a	n/a	1	4	231	VLPFC	323.519289575517	0.374531835205993	1125.78443113772	-0.286573146292585	0	1238.00538047656	0.210769230769231	1	4	0	0	1	0	0
92.7145513862111	2.51878427439556	punish_vlpfc	95.2333356606066	17	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	1	4	-1	n/a	n/a	n/a	1	4	231	VLPFC	873.661464855075	0.624219725343321	1476.70431893688	-0.146666666666667	0.25826287471176	1272.41347150259	0.111111111111111	2	5	0	0	1	0	0
96.234130459927	2.51884386671708	punish_vlpfc	98.7529743266441	18	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	-1	8	-1	n/a	n/a	n/a	1	4	231	VLPFC	756.786119289696	0.769038701622971	1429.32432432432	-0.00543478260869565	0	1219.13451191391	0.207692307692308	1	6	0	0	1	0	0
99.7368713539392	2.51885656093806	punish_vlpfc	102.255727914877	19	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	1	7	1	n/a	n/a	n/a	1	4	231	VLPFC	306.692393623292	0	1125.13607990012	-0.4	0	1207.87778631822	0.146923076923077	0	7	0	0	1	0	0
103.256483573679	2.51878885842115	punish_vlpfc	105.7752724321	20	4	3	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	0.25	1	0	-1	n/a	n/a	n/a	1	4	231	VLPFC	641.995447002351	0	1338.49812734082	-0.275	0	1215.15910837817	0.340769230769231	0	8	0	0	1	0	0
106.759338363066	6.02145464495942	panas_none	112.780793008026	21	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	inspired	At this moment	1	1	4	231	NONE	n/a	0	711.122347066167	-0.05125	0.0914681014604151	901.884940778342	-0.104149026248942	3	1	0	1	0	0	1
