sub,run,trial,act_IFG,act_SMA,act_lVLPFC,act_rVLPFC,act_thalamus,conn_leftVS_LPFC,conn_leftVS_dACC,conn_leftVS_visual,conn_rFPN_VLPFC,conn_rFPN_precun,conn_rightVS_dACC,conn_rightVS_dPrecun,conn_rightVS_vPrecun
189,3,1,-0.24021,-0.41678,-0.11597,-1.0523,1.0231,-0.040697,0.23089,-1.0695,0.21802,-0.21732,-0.28703,-0.75876,-1.5033
189,3,2,0.054723,-0.72531,-0.171,-0.6306,0.903,-0.78989,-0.17878,-0.81978,-0.22248,-0.90131,-0.25508,-0.4724,0.28763
189,3,3,0.10078,-0.97914,-0.2094,-0.22929,0.15891,0.47545,-0.08219,0.20361,0.93021,0.30247,0.22646,-0.35807,0.14964
189,3,4,-0.0601,0.14493,0.19687,-0.14547,-0.43011,-0.11639,-0.8129,0.67795,1.1694,0.59738,-0.97202,-0.24338,-0.44705
189,3,5,0.33224,0.56895,0.21926,0.028009,-0.14153,0.2523,-0.8492,0.79541,1.4629,-1.0267,-0.33564,-0.15642,0.54023
189,3,6,-0.132,0.42087,0.26717,0.52782,0.25343,0.1108,-0.62054,-0.17159,0.7138,-0.47457,-0.13548,-0.10097,1.2436
189,3,7,-0.3438,-0.16709,1.4577,0.89007,-0.54951,0.14729,0.058782,-0.80192,-0.84841,-1.6897,-0.41563,0.66421,-1.365
189,3,8,-0.090373,-0.293,3.4555,1.5781,-2.0388,0.14317,0.28447,-0.76355,-0.41646,-0.46126,0.32782,0.72434,-1.3482
189,3,9,-0.44203,-0.35629,0.16384,0.95335,0.014992,0.66572,0.34086,0.11599,0.81903,-0.50369,-0.06236,0.064109,0.36183
189,3,10,-0.56131,-0.46484,0.14751,0.26285,0.72444,1.0006,0.042734,0.36446,-0.13014,-0.36491,-0.17078,-0.14018,0.39818
189,3,11,0.17433,-0.035919,0.41321,-0.32771,0.45249,1.0826,-0.36124,-0.87221,0.49531,-0.2723,-0.088475,0.13816,-0.48717
189,3,12,0.98973,0.30042,0.7255,-0.65644,-0.34508,0.75582,0.34373,0.63836,-1.3005,0.73127,-0.49096,0.11703,-0.42819
189,3,13,0.47842,0.1856,0.21543,-1.0635,0.31665,0.39076,0.38376,1.1357,-0.58726,0.14031,-0.35411,0.35669,-0.0601
189,3,14,0.57425,-0.81013,-0.096691,0.019126,-0.16281,-0.17052,1.1847,1.4957,0.43255,-0.15292,-0.18881,0.2998,0.016979
189,3,15,0.46701,-1.0002,0.037694,0.87094,-0.82259,-0.54783,-0.25708,0.24483,1.3853,-1.022,-0.2403,0.47123,0.26897
189,3,16,0.88089,-0.27958,0.67854,0.61118,-1.1434,0.20474,-0.50172,-0.23265,0.38723,-0.91928,-0.32135,-0.26524,-0.22833
189,3,17,-0.54155,0.18831,0.79832,0.38392,0.37042,1.1602,0.67524,0.17625,-0.13399,0.54784,0.58251,0.18104,-0.36712
189,3,18,0.29763,0.91485,0.38466,1.1908,0.2418,1.0194,0.87441,-0.14013,0.40928,0.63852,0.50947,0.58104,0.35464
