sub,run,trial,act_leftVLPFC,act_PCC,act_rightVLPFC,act_preSMA,act_thalamus,act_rightParietal,conn_leftVLPFC_DLPFC,conn_leftVLPFC_MPFC,conn_leftVLPFC_PCC,conn_leftVS_visual,conn_rightVS_DLPFC
234,1,1,0.53189,-0.28779,0.13063,1.2776,0.34111,-1.6312,0.54396,-0.39144,0.43991,0.20578,-0.58356
234,1,2,-0.64918,-1.2254,-0.019091,0.72143,-0.64334,-1.1926,0.29954,-0.5205,-0.67627,0.18414,0.96786
234,1,3,-0.45892,-0.96865,0.23428,-1.5984,-0.7611,0.25095,0.17013,-0.84491,0.094808,0.54295,0.5641
234,1,4,0.44223,0.14266,1.1671,-2.6521,-0.0097836,0.22792,-0.35714,-0.37593,-1.0717,-0.042238,0.59909
234,1,5,0.29302,0.0081681,1.9873,-1.2219,0.042573,0.68902,-0.47321,-0.30672,-0.10762,-0.30779,0.58035
234,1,6,0.17754,-0.72847,1.1552,0.075121,-0.24575,-0.52396,-0.44649,0.047612,0.8386,-0.16844,-0.42979
234,1,7,-0.55752,-0.13424,0.428,0.59692,-0.26144,-0.41365,-0.39604,0.80871,0.52492,0.12216,0.42174
234,1,8,-2.9807,-0.9274,-0.66126,1.2676,-0.7174,0.7354,0.1197,-0.56596,0.27961,0.41464,0.77738
234,1,9,0.14898,-0.92083,1.2158,-0.14821,0.23128,-1.1681,-0.84712,-0.20616,0.12381,-0.41172,-0.34156
234,1,10,-0.88446,-1.0991,0.71727,-1.0042,-0.217,-0.37249,-1.8352,-0.75662,0.49281,-0.14998,0.24518
234,1,11,-0.89099,0.10684,0.44444,-1.4596,-1.2876,0.051054,0.07041,0.99055,0.95454,-0.41495,-0.19774
234,1,12,0.0022317,0.2685,0.76798,-1.2965,-1.1786,-0.33265,-0.99182,-0.18491,-0.79879,-0.28601,-0.66257
234,1,13,1.1616,0.22072,1.067,-0.76342,-0.35777,-0.77525,-0.66457,-0.26615,-0.38058,0.7545,-0.0091056
234,1,14,1.4018,0.13563,0.49688,-0.59166,0.17311,-0.84299,0.14761,-0.11611,0.4247,0.32099,0.59906
234,1,15,1.4566,0.47718,-0.31018,-0.31197,0.034008,-0.7204,-0.14909,0.9727,0.54433,0.70219,1.2565
234,1,16,1.3221,0.90236,-0.35831,0.65317,-0.55372,-0.94305,-0.59515,0.21243,1.6109,-0.51049,-1.025
234,1,17,-0.96149,-0.62148,0.79493,1.2704,0.52667,0.12141,0.091384,0.6875,0.88435,-0.16924,-0.055726
234,1,18,-1.4622,-0.55885,0.10617,0.42721,0.13308,-0.39763,0.27736,1.452,0.85789,-0.63333,-0.68431
234,1,19,-0.69795,0.26586,-0.006926,-1.2181,-0.21469,-0.74515,0.60602,-0.58644,-0.19861,-0.5056,-0.45786
234,1,20,0.11008,-0.10825,0.065738,-2.0577,-0.047982,-1.0466,0.67094,-1.085,-0.10161,-0.44576,0.21155
234,1,21,1.3036,0.079872,1.2788,-1.7593,-0.26096,-0.048825,0.53449,-0.91372,0.37429,-1.0361,0.60519
234,1,22,1.5482,-0.25664,1.4266,-1.1013,-0.71796,0.36821,-0.33584,-0.062277,0.81933,-0.38844,0.29503
234,1,23,1.1678,-0.43813,0.86973,-1.3675,-0.19485,0.072228,-0.36117,0.082614,-0.050194,0.022026,0.63881
234,1,24,0.94253,-0.10159,0.50187,-0.37721,0.2064,-0.47516,-0.42644,-0.61294,-0.010492,-0.26516,0.21948
234,1,25,-0.88652,-0.84867,0.17905,-0.70881,-0.78452,-0.256,-1.1887,-0.30179,0.1148,-1.1349,0.85134
234,1,26,-0.77745,-0.46111,0.24294,-0.40838,-1.0809,0.31872,0.10824,0.40782,0.47338,-0.44411,0.22694
234,1,27,-0.45506,-0.13114,0.54686,-0.024169,-0.28833,0.41369,1.2049,1.3979,1.4477,-0.095625,-0.096485
234,1,28,0.22212,0.95082,0.6956,0.93892,0.076368,0.60855,0.18397,-0.85689,-0.63772,-0.34552,-0.39763
234,1,29,0.1327,1.3657,0.72878,1.0875,-0.49541,0.78138,-0.27714,0.57511,0.585,-0.41821,-1.419
234,1,30,-0.16773,0.31288,0.33703,0.13493,-0.80919,0.15106,-0.18465,0.30216,0.0023106,-0.24246,0.77339
234,1,31,0.00011105,-1.0759,0.68407,-0.35095,-0.2001,0.10319,-1.4527,0.19937,-0.081813,-0.43258,0.41115
234,1,32,-0.15427,-1.2111,0.63457,0.3319,0.28139,-0.38015,-0.71521,-0.25542,0.024589,-0.30199,-0.15742
234,1,33,-0.52823,-0.45131,-0.51907,-0.67544,0.30623,0.33461,-0.44917,-0.16693,-1.0279,-0.060173,-0.43801
